visible_link,title,requested_at,effective_query,rank,requested_by,query,status,link,page_number,search_engine_name,domain,snippet,num_results_for_query,num_results,link_type,scrape_method,no_results
vodlocker.com/1mpys1b9zry6,Watch Family Guy S14E12 HDTV x264 KILLERS mp4 - VoDLocker,2016-10-23 04:41:50.754971,,1,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/1mpys1b9zry6,1,google,vodlocker.com,"You are watching Family.Guy.S14E12.HDTV.x264-KILLERS.mp4 online for free, Watch Family.Guy.S14E12.HDTV.x264-KILLERS.mp4 online, Download Family ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/x3g8nwvbpj9a,Watch Family Guy S14E02 REAL HDTV x264 KILLERS mp4,2016-10-23 04:41:50.754971,,2,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/x3g8nwvbpj9a,1,google,vodlocker.com,"You are watching Family.Guy.S14E02.REAL.HDTV.x264-KILLERS.mp4 online for free, Watch Family.Guy.S14E02.REAL.HDTV.x264-KILLERS.mp4 online, ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/m4i6j5dp0mxs,Watch family guy s13e08 our idiot brian 720p web x264 mrs mkv,2016-10-23 04:41:50.754971,,3,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/m4i6j5dp0mxs,1,google,vodlocker.com,"You are watching family.guy.s13e08.our.idiot.brian.720p.web.dl.x264-mrs.mkv online for free, Watch ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/wvkx83lmqakb,Watch Family Guy S14E20 HDTV x264 FLEET mp4 - VoDLocker,2016-10-23 04:41:50.754971,,4,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/wvkx83lmqakb,1,google,vodlocker.com,"You are watching Family.Guy.S14E20.HDTV.x264-FLEET.mp4 online for free, Watch Family.Guy.S14E20.HDTV.x264-FLEET.mp4 online, Download Family.Guy ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/spfi3vzo6x5w,Watch Family Guy S14E01 HDTV x264 BATV mp4 - VoDLocker,2016-10-23 04:41:50.754971,,5,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/spfi3vzo6x5w,1,google,vodlocker.com,"You are watching Family.Guy.S14E01.HDTV.x264-BATV.mp4 online for free, Watch Family.Guy.S14E01.HDTV.x264-BATV.mp4 online, Download Family.Guy.","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/h1n5gsdvp3t8,Watch family guy s13e01 the simpsons guy 720p web x264 mrs mkv,2016-10-23 04:41:50.754971,,6,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/h1n5gsdvp3t8,1,google,vodlocker.com,"You are watching family.guy.s13e01.the.simpsons.guy.720p.web.dl.x264-mrs.mkv online for free, Watch ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/rcj0xgvyflme,Watch Family Guy S14E11 HDTV x264 KILLERS mp4 - VoDLocker,2016-10-23 04:41:50.754971,,7,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/rcj0xgvyflme,1,google,vodlocker.com,"You are watching Family.Guy.S14E11.HDTV.x264-KILLERS.mp4 online for free, Watch Family.Guy.S14E11.HDTV.x264-KILLERS.mp4 online, Download Family ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/n5qp8y3dmynt,Watch family guy S04E12 Perfect Castaway avi - VoDLocker,2016-10-23 04:41:50.754971,,8,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/n5qp8y3dmynt,1,google,vodlocker.com,"S04E12 - Perfect Castaway.avi online for free, Watch family.guy.S04E12 - Perfect Castaway.avi online, Download family.guy.S04E12 - Perfect Castaway.avi ...","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/lglfyatp931f,Watch Family Guy S14E15 HDTV x264 SDI mp4 - VoDLocker,2016-10-23 04:41:50.754971,,9,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/lglfyatp931f,1,google,vodlocker.com,"You are watching Family.Guy.S14E15.HDTV.x264-SDI.mp4 online for free, Watch Family.Guy.S14E15.HDTV.x264-SDI.mp4 online, Download Family.Guy.","About 4,780 results (0.24 seconds) ",50,results,http,False
vodlocker.com/zoshs6vcevc9,Watch Family Guy S14E16 720p HDTV x264 AVS mkv mp4 mp4,2016-10-23 04:41:50.754971,,10,localhost,site:vodlocker.com family guy,successful,http://vodlocker.com/zoshs6vcevc9,1,google,vodlocker.com,"You are watching Family Guy S14E16 720p HDTV x264 AVS mkv.mp4.mp4 online for free, Watch Family Guy S14E16 720p HDTV x264 AVS mkv.mp4.mp4 ...","About 4,780 results (0.24 seconds) ",50,results,http,False
